Descriptor,Model,Test R²,Test RMSE,Test MAE
ECFP4,Random Forest,0.3306807863082363,0.9944355495667446,0.7876666841212742
ECFP4,XGBoost,0.4619996637156283,0.8915614230897551,0.6988442934123533
MACCS,Random Forest,0.44172834887925594,0.9082026875324826,0.7158369129296351
MACCS,XGBoost,0.5234678742271841,0.8390852509232801,0.6694659604328197
RDKit,Random Forest,0.40703100633690126,0.9360002991626579,0.716830968729074
RDKit,XGBoost,0.35573382615929194,0.9756468802938632,0.7560000121355767
Combined,Random Forest,0.48314324400892095,0.8738665062144688,0.6829265094846128
Combined,XGBoost,0.6066360341982905,0.7623550509998592,0.5928709867178862
